STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",3/17/2010,0,0,66,43
USW00094728,"NY CITY CENTRAL PARK, NY US",3/18/2010,0,0,69,50
USW00094728,"NY CITY CENTRAL PARK, NY US",3/19/2010,0,0,72,49
USW00094728,"NY CITY CENTRAL PARK, NY US",3/20/2010,0,0,74,54
USW00094728,"NY CITY CENTRAL PARK, NY US",3/21/2010,0,0,64,51
USW00094728,"NY CITY CENTRAL PARK, NY US",3/22/2010,1.34,0,57,50
USW00094728,"NY CITY CENTRAL PARK, NY US",3/23/2010,0.11,0,53,45
USW00094728,"NY CITY CENTRAL PARK, NY US",3/24/2010,0,0,60,43
USW00094728,"NY CITY CENTRAL PARK, NY US",3/25/2010,0,0,62,48
USW00094728,"NY CITY CENTRAL PARK, NY US",3/26/2010,0.14,0,52,34
USW00094728,"NY CITY CENTRAL PARK, NY US",3/27/2010,0,0,44,29
USW00094728,"NY CITY CENTRAL PARK, NY US",3/28/2010,0.34,0,49,36
USW00094728,"NY CITY CENTRAL PARK, NY US",3/29/2010,1.58,0,53,48
USW00094728,"NY CITY CENTRAL PARK, NY US",3/30/2010,2.45,0,50,41
USW00094728,"NY CITY CENTRAL PARK, NY US",3/31/2010,0.01,0,57,45
USW00094728,"NY CITY CENTRAL PARK, NY US",4/1/2010,0,0,70,48
USW00094728,"NY CITY CENTRAL PARK, NY US",4/2/2010,0,0,68,48
USW00094728,"NY CITY CENTRAL PARK, NY US",4/3/2010,0,0,67,47
USW00094728,"NY CITY CENTRAL PARK, NY US",4/4/2010,0,0,76,47
USW00094728,"NY CITY CENTRAL PARK, NY US",4/5/2010,0,0,75,56
USW00094728,"NY CITY CENTRAL PARK, NY US",4/6/2010,0,0,78,58
USW00094728,"NY CITY CENTRAL PARK, NY US",4/7/2010,0,0,92,56
USW00094728,"NY CITY CENTRAL PARK, NY US",4/8/2010,0,0,80,64
USW00094728,"NY CITY CENTRAL PARK, NY US",4/9/2010,0.3,0,68,44
USW00094728,"NY CITY CENTRAL PARK, NY US",4/10/2010,0,0,62,42
USW00094728,"NY CITY CENTRAL PARK, NY US",4/11/2010,0,0,76,52
USW00094728,"NY CITY CENTRAL PARK, NY US",4/12/2010,0,0,67,52
USW00094728,"NY CITY CENTRAL PARK, NY US",4/13/2010,0,0,56,47
USW00094728,"NY CITY CENTRAL PARK, NY US",4/14/2010,0,0,67,45
USW00094728,"NY CITY CENTRAL PARK, NY US",4/15/2010,0,0,73,50
USW00094728,"NY CITY CENTRAL PARK, NY US",4/16/2010,0.31,0,57,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/17/2010,0.01,0,54,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/18/2010,0,0,57,42
USW00094728,"NY CITY CENTRAL PARK, NY US",4/19/2010,0,0,63,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/20/2010,0,0,70,47
USW00094728,"NY CITY CENTRAL PARK, NY US",4/21/2010,0.03,0,69,53
USW00094728,"NY CITY CENTRAL PARK, NY US",4/22/2010,0,0,72,51
USW00094728,"NY CITY CENTRAL PARK, NY US",4/23/2010,0,0,68,44
USW00094728,"NY CITY CENTRAL PARK, NY US",4/24/2010,0,0,68,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/25/2010,1.6,0,52,46
USW00094728,"NY CITY CENTRAL PARK, NY US",4/26/2010,0.69,0,53,48
USW00094728,"NY CITY CENTRAL PARK, NY US",4/27/2010,0.05,0,58,41
USW00094728,"NY CITY CENTRAL PARK, NY US",4/28/2010,0,0,56,40
USW00094728,"NY CITY CENTRAL PARK, NY US",4/29/2010,0,0,69,45
USW00094728,"NY CITY CENTRAL PARK, NY US",4/30/2010,0,0,78,56
USW00094728,"NY CITY CENTRAL PARK, NY US",5/1/2010,0,0,85,64
USW00094728,"NY CITY CENTRAL PARK, NY US",5/2/2010,0,0,88,66
USW00094728,"NY CITY CENTRAL PARK, NY US",5/3/2010,1.29,0,80,67
USW00094728,"NY CITY CENTRAL PARK, NY US",5/4/2010,0,0,81,62
USW00094728,"NY CITY CENTRAL PARK, NY US",5/5/2010,0,0,80,58
USW00094728,"NY CITY CENTRAL PARK, NY US",5/6/2010,0,0,78,59
USW00094728,"NY CITY CENTRAL PARK, NY US",5/7/2010,0,0,73,52
USW00094728,"NY CITY CENTRAL PARK, NY US",5/8/2010,0.04,0,76,49
USW00094728,"NY CITY CENTRAL PARK, NY US",5/9/2010,0,0,52,44
USW00094728,"NY CITY CENTRAL PARK, NY US",5/10/2010,0,0,61,41
USW00094728,"NY CITY CENTRAL PARK, NY US",5/11/2010,0.03,0,56,43
USW00094728,"NY CITY CENTRAL PARK, NY US",5/12/2010,0.43,0,48,44
USW00094728,"NY CITY CENTRAL PARK, NY US",5/13/2010,0,0,67,43
USW00094728,"NY CITY CENTRAL PARK, NY US",5/14/2010,0.04,0,80,55
USW00094728,"NY CITY CENTRAL PARK, NY US",5/15/2010,0,0,73,60
USW00094728,"NY CITY CENTRAL PARK, NY US",5/16/2010,0,0,72,54
USW00094728,"NY CITY CENTRAL PARK, NY US",5/17/2010,0,0,74,55
USW00094728,"NY CITY CENTRAL PARK, NY US",5/18/2010,1.09,0,62,50
USW00094728,"NY CITY CENTRAL PARK, NY US",5/19/2010,0,0,64,50
USW00094728,"NY CITY CENTRAL PARK, NY US",5/20/2010,0,0,79,55
USW00094728,"NY CITY CENTRAL PARK, NY US",5/21/2010,0,0,85,61
USW00094728,"NY CITY CENTRAL PARK, NY US",5/22/2010,0,0,74,57
USW00094728,"NY CITY CENTRAL PARK, NY US",5/23/2010,0,0,71,58
USW00094728,"NY CITY CENTRAL PARK, NY US",5/24/2010,0.03,0,73,60
USW00094728,"NY CITY CENTRAL PARK, NY US",5/25/2010,0,0,82,61
USW00094728,"NY CITY CENTRAL PARK, NY US",5/26/2010,0,0,92,65
USW00094728,"NY CITY CENTRAL PARK, NY US",5/27/2010,0.06,0,83,55
USW00094728,"NY CITY CENTRAL PARK, NY US",5/28/2010,0,0,70,56
USW00094728,"NY CITY CENTRAL PARK, NY US",5/29/2010,0,0,77,61
USW00094728,"NY CITY CENTRAL PARK, NY US",5/30/2010,0,0,84,67
USW00094728,"NY CITY CENTRAL PARK, NY US",5/31/2010,0,0,86,69
USW00094728,"NY CITY CENTRAL PARK, NY US",6/1/2010,0,0,85,66
USW00094728,"NY CITY CENTRAL PARK, NY US",6/2/2010,0,0,87,67
USW00094728,"NY CITY CENTRAL PARK, NY US",6/3/2010,0,0,87,67
USW00094728,"NY CITY CENTRAL PARK, NY US",6/4/2010,0,0,88,72
USW00094728,"NY CITY CENTRAL PARK, NY US",6/5/2010,0,0,88,76
USW00094728,"NY CITY CENTRAL PARK, NY US",6/6/2010,0.02,0,89,61
USW00094728,"NY CITY CENTRAL PARK, NY US",6/7/2010,0,0,75,57
USW00094728,"NY CITY CENTRAL PARK, NY US",6/8/2010,0,0,75,58
USW00094728,"NY CITY CENTRAL PARK, NY US",6/9/2010,0.89,0,68,57
USW00094728,"NY CITY CENTRAL PARK, NY US",6/10/2010,0.25,0,74,58
USW00094728,"NY CITY CENTRAL PARK, NY US",6/11/2010,0,0,71,58
USW00094728,"NY CITY CENTRAL PARK, NY US",6/12/2010,0,0,79,61
USW00094728,"NY CITY CENTRAL PARK, NY US",6/13/2010,0.3,0,78,65
